Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
101,1163,Waiting for Godot,Samuel Beckett,1953,Irish,French,60-128,30000,101,1968,"Absurdist, Fiction, Literary Fiction, Plays, Postmodern, philosophical","Despair, Existentialism, Hope, Human Condition, Suffering, Time, Waiting",Fictional Location
102,474,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1902,American,English,1000-1500,,102,1951,"Fiction, Gothic, Horror, Mystery, Poetry, Psychological, Speculative Fiction, Technical","Death & Grief, Despair, Guilt, Love, Madness, Revenge, fear, isolation","Europe, Fictional Location, New York, Paris, Rome"
103,262,The Plague,Albert Camus,1947,French,French,200-300,72000,103,1926,"Allegorical, Fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Existentialism, Humanity, Mortality, Resilience, Solidarity, Suffering, isolation","Algeria, Oran"
104,61,Native Son,Richard Wright,1940,American,English,350-500,100000,104,1914,"Fiction, Literary Fiction, Political, Psychological, Social & Cultural Fiction, Tragedy","Alienation, History, Identity, Justice, Poverty, Racism, Violence, fear, oppression","Chicago, Illinois, United States"
105,206,Vanity Fair,William Makepeace Thackeray,1847,British,English,900-1000,346089,105,1913,"Fiction, Literary Fiction, Satire, Social & Cultural Fiction, Victorian","Ambition, Deception, Family, Friendship, Marriage, Society, Wealth, class, morality, vanity","England, London, United Kingdom"
106,1484,The Stories of Anton Chekhov,Anton Chekhov,1900,Russian,Russian,460,,106,1911,"Drama, Fiction, Literary Fiction, Short Story Collection, Social & Cultural Fiction","Bureaucracy, Despair, Existentialism, Family, Family dynamics, History, Hope, Love, Marriage, Mortality, Social Class, human nature, isolation",Russia
107,121,The Color Purple,Alice Walker,1982,American,English,250-350,66000,107,1907,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Empowerment, Family, Family dynamics, Friendship, Identity, Racism, Resilience, Sexism, Sisterhood, abuse","Georgia, Southern US, United States"
108,2583,Walden,Henry David Thoreau,1854,American,English,200-350,114000,108,1897,"Nonfiction, Pastoral, Religion & Spirituality, Travel, philosophical","History, Individualism, Nature, Reflection, Self-reliance, Simplicity, Solitude, Transcendentalism, economy","Massachusetts, United States, Walden Pond"
109,470,The Man Without Qualities,Robert Musil,1930,Austrian,German,1000-2000,177000,109,1895,"Fiction, Literary Fiction, Modernist, Picaresque, Postmodern, Social & Cultural Fiction, philosophical","Modernity, Philosophy, Politics, Psychology, Science, Society, morality, relationships","Austria, Latin American, Vienna"
110,336,Treasure Island,Robert Louis Stevenson,1883,British,English,192,66922,110,1887,"Adventure, Fiction, Mystery, Sailors & The Sea, Victorian","Betrayal, Courage, Friendship, Loyalty, Piracy, greed, treasure","Fictional Location, Ireland"
111,2028,The Long Goodbye,Raymond Chandler,1953,American,English,250-400,96000,111,1850,"Crime, Fiction, Hard Boiled, Mystery, noir","Deception, Despair, Detective, Friendship, Loyalty, Murder, Wealth, alcoholism, corruption","California, Los Angeles, United States"
112,265,The Tin Drum,Günter Grass,1959,German,German,500-600,203000,112,1841,"Allegorical, Dark, Fiction, Literary Fiction, Magical Realism, Postmodern, Satire","Love, Madness, Music, People with disabilities, Politics, War, World War II, rebellion","Danzig, Germany, Latin American, Poland"
113,1305,The Second Sex,Simone de Beauvoir,1949,French,French,800-1000,267000,113,1841,"Mythological, Nonfiction, Political, Social & Cultural Fiction, philosophical","Existentialism, Freedom, Gender and Sexuality, History, Identity, Marriage, Patriarchy, Sexuality, Women's Studies, Womens Studies, gender, oppression",France
114,955,The Hound of the Baskervilles,Arthur Conan Doyle,1902,British,English,174-256,59860,114,1826,"Crime, Fiction, Gothic, Horror, Mystery, Speculative Fiction, Victorian","Death, Deception, Detective, Inheritance, Investigation, Superstition, fear","Dartmoor, England"
115,449,Dead Souls,Nikolai Gogol,1842,Russian,Russian,300-550,84000,115,1814,"Fiction, Literary Fiction, Picaresque, Satire, philosophical","Bureaucracy, Deception, Society, Wealth, corruption, greed, human nature, morality",Russia
116,3041,The Waste Land,T. S. Eliot,1922,British,English,64-88,434,116,1812,"Experimental, Fiction, Literary Fiction, Modernist, Poetry, philosophical","Death & Grief, Despair, Fragmentation, Identity, Modernity, Mythology, Rebirth",Fictional Location
117,434,The Talented Mr. Ripley,Patricia Highsmith,1955,American,English,250-300,89000,117,1808,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense, noir","Ambition, Deception, Friendship, Impersonation, Jealousy, Murder, Psychopathy, Wealth","France, Great Britain, Italy, New York, United States"
118,111,The Wind in the Willows,Kenneth Grahame,1908,British,English,240-320,58500,118,1806,"Adventure, Children's books, Fiction, Literary Fiction, Pastoral","Animals, Country life, Family, Friendship, Home, Juvenile, Loyalty, Nature, Seasons, change","England, Fictional Location"
119,15,Brideshead Revisited,Evelyn Waugh,1945,British,English,300-400,142000,119,1806,"Coming of age, Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Faith, Family, Family dynamics, Friendship, Love, Nostalgia, Upper class, alcoholism, class, relationships","England, Oxford, United States"
120,12,The Big Sleep,Raymond Chandler,1939,American,English,200-300,69000,120,1803,"Crime, Fiction, Hard Boiled, Mystery, noir","Addiction, Blackmail, Deception, Detective, Family, Murder, Wealth, corruption","California, Los Angeles, United States"
121,562,Bleak House,Charles Dickens,1852,British,English,800-1000,360000,121,1794,"Fiction, Gothic, Historical fiction, Literary Fiction, Mystery, Victorian","Charity, Death, Disease, Family, Inheritance, Inheritance and succession, Justice, Law, Marriage, Social Class, corruption, orphans, secrets","England, Europe, London"
122,134,A Farewell to Arms,Ernest Hemingway,1929,American,English,300-500,67000,122,1787,"Fiction, Historical fiction, Literary Fiction, Tragedy, military fiction","Courage, Despair, Friendship, Hope, Loss, Love, Medicine, War, World War I, relationships","Italy, New York, Switzerland"
123,601,Antigone,Sophocles,-441,Greek,Ancient greek,80,12000,123,1775,"Drama, Fiction, Mythological, Plays, Tragedy, philosophical","Death, Duty, Family, Honor, Justice, Law, Loyalty, conflict, rebellion","Greece, Thebes"
124,40,The Heart Is A Lonely Hunter,Carson McCullers,1940,American,English,300-400,121960,124,1773,"Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Alienation, Communication, Despair, Friendship, History, Hope, Identity, Racism, isolation, loneliness","Georgia, Southern US, United States"
125,177,The Maltese Falcon,Dashiell Hammett,1930,American,English,213-224,59000,125,1758,"Crime, Fiction, Hard Boiled, Mystery, noir","Betrayal, Deception, Investigation, Loyalty, Murder, Trust, artifacts, greed","California, San Francisco, United States"
126,11674,Pedro Páramo,Juan Rulfo,1955,Mexican,Spanish,120-200,23000,126,1746,"Fiction, Literary Fiction, Magical Realism, Modernist, Social & Cultural Fiction","Death, Despair, Family, Ghosts, Guilt, Memory, Power, Revenge, corruption, secrets",Fictional Location
127,20,A Clockwork Orange,Anthony Burgess,1962,British,English,192,64000,127,1730,"Dark, Dystopian, Fiction, Picaresque, Postmodern, Speculative Fiction, philosophical","Control, Free will, Government, Psychology, Rehabilitation, Teenagers, Violence, Youth, morality","England, Fictional Location"
128,469,The Tale of Genji,Murasaki Shikibu,1001,Japanese,Classical japanese,1000-1200,267000,128,1724,"Coming of age, Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Beauty, Betrayal, Court Life, Family, Identity, Impermanence, Love",Japan
129,324,The Canterbury Tales,Geoffrey Chaucer,1400,British,Middle english,300-500,120000,129,1721,"Allegorical, Anthologies, Fiction, Historical fiction, Literary Fiction, Poetry","Chivalry, Deception, Pilgrimage, Social Class, Storytelling, corruption, morality","Canterbury, England"
130,482,King Lear,William Shakespeare,1608,British,English,100-200,26147,130,1719,"Drama, Fiction, Literary Fiction, Tragedy, philosophical","Betrayal, Blindness, Family, Family dynamics, Inheritance, Inheritance and succession, Justice, Loyalty, Madness, Nobility, Power, Revenge, Suffering","England, Fictional Location"
131,416,Paradise Lost,John Milton,1667,British,English,200-500,80000,131,1716,"Allegorical, Fiction, Good and evil, Mythological, Poetry, epic","Christianity, Free will, Justice, Obedience, Redemption, Sin, Temptation, rebellion","Fictional Location, Providence"
132,138,For Whom the Bell Tolls,Ernest Hemingway,1940,American,English,450-500,174632,132,1700,"Fiction, Historical fiction, Literary Fiction, Tragedy, military fiction","Betrayal, Courage, Death, Espionage, Freedom, Love, Loyalty, Sacrifice, Violence, War",Spain
133,1980,First Folio,William Shakespeare,1623,British,English,900,884647,133,1698,"Drama, Fiction, Historical fiction, Literary Fiction, Plays, Tragedy","Ambition, Betrayal, Family, Fate, Friendship, Honor, Identity, Jealousy, Love, Madness, Power, Revenge","England, Great Britain, Italy, Russia, United Kingdom"
134,2251,The Name of the Rose,Umberto Eco,1980,Italian,Italian,500-600,174000,134,1698,"Fiction, Gothic, Historical fiction, Mystery, Postmodern, philosophical","Books, Heresy, Inquisition, Knowledge, Libraries, Monasticism, Murder, Philosophy","Fictional Location, Italy"
135,500,The Unbearable Lightness of Being,Milan Kundera,1984,Czech,Czech,200-400,85000,135,1694,"Existentialist, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Existentialism, Fate, Freedom, Identity, Infidelity, Love, Memory","Czech Republic, Prague"
136,330,Tess of the d'Urbervilles,Thomas Hardy,1891,British,English,400-500,151097,136,1683,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, Victorian","Family, Family dynamics, Fate, Injustice, Marriage, Nature, Purity, Social Class, gender roles, morality","England, Wessex"
137,493,Memoirs of Hadrian,Marguerite Yourcenar,1951,French,French,300-400,72000,137,1683,"Fiction, Historical fiction, Literary Fiction, philosophical","Empire, European History, Friendship, History, Humanity, Identity, Leadership, Legacy, Mortality, Philosophy, Power, Wisdom","Asia Minor, Fictional Location, Greece, Italy, Roman, Rome"
138,2588,Doctor Faustus,Thomas Mann,1947,German,German,500-700,184000,138,1649,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Psychological, philosophical","Artistic Creation, Despair, Faustian Bargain, Friendship, Genius, German Culture, Madness, Music, isolation, morality","Germany, Switzerland"
139,100,Wide Sargasso Sea,Jean Rhys,1966,British,English,120-200,64000,139,1646,"Fiction, Gothic, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Family, Love, Madness, Marriage, Power, colonialism, gender, isolation, race, relationships","Dominica, Jamaica, United Kingdom"
140,152,Lady Chatterley's Lover,D. H. Lawrence,1928,British,English,300-400,114000,140,1605,"Banned books, Erotica, Fiction, Literary Fiction, Romance, Social & Cultural Fiction","Adultery, Industrialization, Love, Marriage, Nobility, Sexual behavior, Sexuality, class, disability, relationships","England, Great Britain, Nottinghamshire"
141,1598,Macbeth,William Shakespeare,1606,British,English,100-150,17000,141,1595,"Fiction, Good and evil, Horror, Plays, Speculative Fiction, Tragedy","Ambition, Betrayal, Fate, Guilt, Madness, Power, Violence","England, Fictional Location, Scotland"
142,210,The Woman in White,Wilkie Collins,1860,British,English,500-700,264000,142,1580,"Fiction, Gothic, Mystery, Thriller & Suspense, Victorian","Deception, Identity, Justice, Madness, Marriage, Social Class, gender roles","England, London"
143,424,Doctor Zhivago,Boris Pasternak,1957,Russian,Russian,450-700,204000,143,1580,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Betrayal, Family, Love, Medicine, Politics, Revolution, Survival, War, World War I","Europe, Moscow, Russia, Soviet Union, Ural Mountains"
144,829,The Interpretation of Dreams,Sigmund Freud,1899,Austrian,German,600-700,203000,144,1573,"Counselling, Esoterica, Nonfiction, Psychological, philosophical","Dreams, Freudian Theory, History, History Of Science, Interpretation, Psychology & Mental Health, Repression, Science, Symbolism, Unconscious, Wish Fulfillment, academic","Austria, Vienna"
145,2472,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1962,Russian,Russian,100-200,50000,145,1568,"Dystopian, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Speculative Fiction","Friendship, Hope, Human Dignity, Injustice, Political Ideologies, Resilience, Survival, isolation, oppression","Fictional Location, Russia, Siberia, Soviet Union"
146,2560,Poems of Emily Dickinson,Emily Dickinson,1890,American,English,696,,146,1562,"Allegorical, Fiction, Literary Fiction, Modernist, Poetry, philosophical","Death & Grief, Faith, Identity, Immortality, Love, Nature, Time, isolation","Amherst, Massachusetts, United States"
147,908,If This Is a Man,Primo Levi,1947,Italian,Italian,100-200,38000,147,1554,"Cultural, Memoir, Nonfiction, Political, True Story","Dehumanization, History, Hope, Humanity, Identity, Jewish, Memory, Resilience, Suffering, Survival","Auschwitz, Italy, Poland"
148,168,Sons and Lovers,D. H. Lawrence,1913,British,English,400-500,153000,148,1554,"Coming of age, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction","Family, Family dynamics, Industrialization, Love, Mothers & Children, Psychology, Sexuality, class, conflict, relationships","England, Nottinghamshire"
149,194,Tom Jones,Henry Fielding,1749,British,English,800-1000,346733,149,1550,"Fiction, Historical fiction, Humor, Literary Fiction, Picaresque, Satire","Hypocrisy, Inheritance, Love, Marriage, Psychology & Mental Health, Virtue, class, morality, orphans","England, London"
150,202,The Charterhouse of Parma,Stendhal,1839,French,French,300-500,210000,150,1550,"Fiction, Historical fiction, Literary Fiction, Picaresque, Political","Ambition, Betrayal, Family, Honor, Imprisonment, Intrigue, Love, Politics, War","Italy, Parma"
151,445,A Sentimental Education,Gustave Flaubert,1869,French,French,300-500,145000,151,1547,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Ambition, Disillusionment, Education, Friendship, Love, Politics, Revolution, Society","France, Paris"
152,104,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,British,English,150-200,46972,152,1545,"Absurdist, Fiction, Humor, Postmodern, Science fiction, Speculative Fiction","Aliens, Bureaucracy, Existentialism, Friendship, Philosophy, Robots, Survival, Technology","Fictional Location, Space, United States"
153,954,The Three Musketeers,Alexandre Dumas,1844,French,French,400-700,228000,153,1544,"Adventure, Fiction, Historical fiction, Mystery, Romance","Betrayal, Courage, Deception, Friendship, Honor, Intrigue, Loyalty, Revenge","France, Paris"
154,2663,Giovanni's Room,James Baldwin,1956,American,English,150-200,62000,154,1539,"Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Cultural Conflict, History, Identity, Lgbtq+, Love, Self-discovery, Sexuality, Shame, isolation, relationships","France, Paris, United States"
155,156,Howards End,E. M. Forster,1910,British,English,320-400,111025,155,1538,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Connection, Family, Family dynamics, Identity, Inheritance, Marriage, Modernity, Sociology, class, gender roles","England, London"
156,2255,And Then There Were None,Agatha Christie,1939,British,English,200-300,64312,156,1538,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense","Deception, Guilt, Justice, Murder, Revenge, Survival, fear","England, Fictional Location"
157,690,A Room of One's Own,Virginia Woolf,1929,British,English,112-148,37500,157,1538,"Modernist, Nonfiction, Social & Cultural Fiction, philosophical","Creativity, Economics, Education, Feminism, Gender and Sexuality, Patriarchy, Society, Women, Women's Studies, Womens Studies, gender, writing","England, Great Britain, Independence"
158,2009,Fahrenheit 451,Ray Bradbury,1953,American,English,158-190,46000,158,1538,"Allegorical, Dystopian, Fiction, Science fiction, Speculative Fiction, philosophical","Alienation, Conformity, Freedom, Ignorance, Knowledge, Technology, censorship, rebellion",Fictional Location
159,67,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,American,English,320,104000,159,1535,"Banned books, Dark, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Authority, Conformity, Freedom, Individualism, Power Dynamics, Psychology & Mental Health, institutionalization, rebellion","Oregon, United States"
160,166,Tender Is the Night,F. Scott Fitzgerald,1934,American,English,260-400,104925,160,1532,"Drama, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","Friendship, History, Infidelity, Love, Marriage, Mental illness, Psychiatry, Psychology & Mental Health, Social Class, Wealth, alcoholism","France, French riviera, Paris, Switzerland, United States"
161,884,The Prince,Niccolo Machiavelli,1532,Italian,Italian,70-140,26000,161,1531,"Nonfiction, Political, philosophical","Deception, European History, Fortune, History, Leadership, Politics, Power, Rulership, Strategy, Virtue, War, human nature","Florence, Italy"
162,117,Harry Potter And The Philosopher's Stone,J. K. Rowling,1997,British,English,223-332,76944,162,1525,"Adventure, Coming of age, Fantasy, Fiction, High Fantasy, Middle Grade, Speculative Fiction","Courage, Good vs. Evil, Juvenile, Magic, School, Schools & Teaching, Witches, Wizards, orphans","England, Fictional Location"
163,1328,Steppenwolf,Hermann Hesse,1927,German,German,200-300,68000,163,1508,"Allegorical, Dark, Fiction, Literary Fiction, Postmodern, Psychological, philosophical","Alienation, Duality, Existentialism, Individualism, Love, Mental Health, Music, Society, Transformation","Germany, Switzerland, Zurich"
164,446,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish,348,62000,164,1507,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance","Aging, Communication, Death, Disease, Infidelity, Love, Marriage, Memory, Obsession, Social Class","Caribbean, Colombia"
165,435,The Complete Sherlock Holmes,Arthur Conan Doyle,1927,British,English,800-1200,608000,165,1499,"Crime, Fiction, Mystery, Thriller & Suspense, Victorian","Deception, Deduction, Detective, Friendship, Justice, Observation, human nature, logic","England, London"
166,487,Confessions of Zeno,Italo Svevo,1923,Italian,Italian,400-500,126000,166,1486,"Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Social & Cultural Fiction","Addiction, Business, Death, Family, Infidelity, Marriage, Psychoanalysis, Self-deception, Smoking, health","Italy, Trieste"
167,48,Light in August,William Faulkner,1932,American,English,480-512,123672,167,1473,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Alienation, Community, Family, Guilt, Racism, Redemption, Southern Gothic, Violence, isolation","Jefferson, Mississippi, United States"
168,320,Decameron,Giovanni Boccaccio,1353,Italian,Italian,800-1000,100000,168,1468,"Fiction, Humor, Literary Fiction, Picaresque, Satire, Short Story Collection, Social & Cultural Fiction","Death & Grief, Deception, Fortune, Love, Plague, Social Class, Storytelling, human nature, morality","Europe, Florence, Italy, Southern US"
169,181,Lord Jim,Joseph Conrad,1900,British,English,300-500,78000,169,1443,"Adventure, Allegorical, Fiction, Literary Fiction, Modernist, Sailors & The Sea","Betrayal, Courage, Guilt, Honor, Leadership, Redemption, colonialism, isolation","Fictional Location, Germany, Malay Archipelago, Patna"
170,120,The Hobbit,J. R. R. Tolkien,1937,British,English,300-400,95022,170,1435,"Adventure, Children's books, Fantasy, Fiction, High Fantasy, Speculative Fiction","Courage, Friendship, Growth, Heroism, Home, Loyalty, greed",Fictional Location
171,76,"Rabbit, Run",John Updike,1960,American,English,250-350,121000,171,1433,"Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Death & Grief, Disillusionment, Escape, Freedom, Infidelity, Responsibility, realism, relationships","Mount Judge, Pennsylvania, Suburbia, United States"
172,1335,Man's Fate,Andre Malraux,1933,French,French,200-350,90000,172,1432,"Fiction, Historical fiction, Literary Fiction, Political, Tragedy, philosophical","Betrayal, Existentialism, Human Condition, Ideology, Politics, Revolution, Sacrifice, Terrorism, Violence, War","China, Shanghai"
173,75,The Prime of Miss Jean Brodie,Muriel Spark,1961,"British, Scottish",English,128-160,65000,173,1430,"Coming of age, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Betrayal, Conformity, Education, Friendship, Individualism, Manipulation, Politics, Teachers, World War II, morality","Edinburgh, Scotland"
174,905,Confessions,Augustine,397,Roman,Latin,200-300,,174,1428,"Autobiography, Memoir, Nonfiction, Religion & Spirituality, philosophical","Catholicism, Christianity, Confession, Conversion, European History, Faith, Friendship, God, Grace, History, Memory, Redemption, Sin, Truth, human nature","Algeria, Hippo (Ancient City), Italy, Rome"
175,99,White Teeth,Zadie Smith,2000,British,English,448-560,169000,175,1407,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Ethics, Family, Family dynamics, Generational Conflict, Immigrants, Immigration, Multiculturalism, Race relations, Science, race","England, Great Britain, London"
176,87,The Spy Who Came in From the Cold,John le Carré,1963,British,English,200-300,62500,176,1403,"Fiction, Literary Fiction, Spy, Thriller & Suspense, noir","Betrayal, Cold War, Deception, Double Agents, Espionage, Intelligence Agencies, Loyalty, Manipulation, Sacrifice, morality","Berlin, Germany, Great Britain, United Kingdom"
177,472,Metamorphoses,Ovid,8,Roman,Latin,200-800,250000,177,1391,"Ancient, Fiction, Mythological, Poetry, Retellings, epic","Divinity, History, Identity, Love, Mortality, Nature, Power, Revenge, Transformation","Fictional Location, Rome"
178,165,A Good Man Is Hard to Find,Flannery O'Connor,1953,American,English,30-50,,178,1373,"Fiction, Gothic, Literary Fiction, Psychological, Short Story Collection, Travel","Death, Family, Grace, Guilt, Redemption, Selfishness, Southern Gothic, Violence, morality","Georgia, Southern US, United States"
179,106,Winnie the Pooh,A. A. Milne,1926,British,English,100-160,26000,179,1370,"Adventure, Children's books, Fiction, Humor, picture books","Animals, Classics, Friendship, Innocence, Juvenile, childhood, imagination",Fictional Location
180,2395,The Flowers of Evil,Charles Baudelaire,1857,French,French,100-200,,180,1368,"Allegorical, Dark, Fiction, Literary Fiction, Modernist, Poetry, philosophical","Beauty, Decay, Desire, Duality, Melancholy, Mortality, Nature, Suffering, Transgression, Urban Life","France, Paris"
181,2410,Brighton Rock,Graham Greene,1938,British,English,200-300,67282,181,1362,"Crime, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, noir","Catholicism, Gangsters, Guilt, Murder, Redemption, Revenge, Teenagers, Violence, fear, morality","Brighton, England"
182,22,The Corrections,Jonathan Franzen,2001,American,English,576,196000,182,1360,"Drama, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Aging, Disillusionment, Family, Family dynamics, Identity, Marriage, Mental illness, Midlife crisis, Technology, consumerism","Midwest, New York, New York City, Pennsylvania, United States"
183,886,On the Origin of Species,Charles Darwin,1859,British,English,502,155000,183,1352,"Encyclopedic, Nonfiction, Technical, philosophical","Adaptation, Environment, History, History Of Science, Inheritance, Life Sciences, Natural selection, Palaeontology, Science, Species, Survival, Variation, competition","Ecuador, Galapagos Islands, United Kingdom"
184,123,Of Mice and Men,John Steinbeck,1937,American,English,100-200,29000,184,1352,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Companionship, Dreams, Farm life, Friendship, People with disabilities, Poverty, Power, Prejudice, Sacrifice, Violence, disability, isolation, loneliness","California, Salinas Valley, United States"
185,318,Fairy Tales and Stories,Hans Christian Andersen,1835,Danish,Danish,569,,185,1350,"Children's books, Fantasy, Fiction, Folklore & Fairy Tales, Short Story Collection, Speculative Fiction","Friendship, Identity, Innocence, Nature, Redemption, Suffering, Transformation, imagination, morality",Denmark
186,1402,A Wrinkle In Time,Madeleine L'Engle,1962,American,English,200-300,49565,186,1347,"Adventure, Fantasy, Fiction, Middle Grade, Science fiction, Speculative Fiction, Young adult","Conformity, Courage, Good vs. Evil, Individuality, Juvenile, Love, Science, Self-discovery, Siblings, Time travel",Fictional Location
187,2651,The End of the Affair,Graham Greene,1951,British,English,160-200,63000,187,1344,"Drama, Fiction, Literary Fiction, Psychological, Romance, Social & Cultural Fiction","Betrayal, Faith, Guilt, Infidelity, Jealousy, Love, Obsession, Redemption","England, London"
188,1695,Molloy,Samuel Beckett,1951,Irish,French,200-300,72000,188,1343,"Allegorical, Dark, Experimental, Fiction, Picaresque, Postmodern, Social & Cultural Fiction, Surreal","Alienation, Existentialism, Madness, Memory, Mother-son relationship, Philosophy, Search, disability, isolation",Fictional Location
189,499,The Remains of the Day,Kazuo Ishiguro,1989,British,English,200-250,72000,189,1342,"Allegorical, Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Butler, Country life, Dignity, Duty, Family dynamics, Loyalty, Memory, Regret, Service, class, relationships","England, United States"
190,72,Portnoy's Complaint,Philip Roth,1969,American,English,200-300,78500,190,1339,"Adult, Fiction, Literary Fiction, Satire, Social & Cultural Fiction","Adolescence, Desire, Family, Guilt, Jewish Identity, Jews, Psychotherapy, Repression, Sexual behavior, Sexuality","New Jersey, New York, Newark, United States"
191,101,An American Tragedy,Theodore Dreiser,1925,American,English,800-900,215000,191,1334,"Crime, Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Ambition, Family, Family dynamics, Guilt, History, Interpersonal relations, Justice, Love, class, morality, realism, relationships","New York, United States"
192,952,The Good Soldier Svejk,Jaroslav Hašek,1921,Czech,Czech,600-750,208000,192,1334,"Absurdist, Fiction, Humor, Picaresque, Satire, military fiction","Authority, Bureaucracy, Disobedience, Friendship, Loyalty, Military, War, World War I","Austria-Hungary, Czech Republic, Prague"
193,538,Watership Down,Richard Adams,1972,British,English,400-500,156154,193,1329,"Adventure, Allegorical, Fantasy, Fiction, Pastoral, Speculative Fiction","Community, Courage, Freedom, Friendship, Leadership, Survival",Fictional Location
194,936,The Counterfeiters,André Gide,1925,French,French,200-400,95000,194,1323,"Allegorical, Coming of age, Experimental, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction","Adolescence, Deception, Education, Family, Friendship, Lgbtq+, Psychology, homosexuality, morality","France, Paris"
195,931,Fathers and Sons,Ivan Turgenev,1862,Russian,Russian,200-300,64000,195,1319,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Death, Family, Friendship, Generational Conflict, Nihilism, Romantic Relationships, Science, Social change, tradition",Russia
196,9,Atonement,Ian McEwan,2001,British,English,350-400,123378,196,1306,"Allegorical, Coming of age, Fiction, Historical fiction, Literary Fiction, Psychological","Country life, Family, Family dynamics, Guilt, Injustice, Love, Redemption, Siblings, Teenagers, War, World War II, class, writing","England, Great Britain, London"
197,328,Berlin Alexanderplatz,Alfred Döblin,1929,German,German,200-600,150000,197,1306,"Fiction, Literary Fiction, Modernist, Picaresque, Psychological, Social & Cultural Fiction","Despair, Hope, Identity, Redemption, Struggle, Urban Life, isolation","Berlin, Germany"
198,155,My Antonia,Willa Cather,1918,American,English,200-400,99780,198,1304,"Coming of age, Fiction, Frontier and pioneer life, Historical fiction, Literary Fiction, Social & Cultural Fiction","Agriculture, Community, Family, Farm life, Friendship, Hardship, History, Immigration, Nostalgia, Pioneers, Resilience","Nebraska, United States"
199,475,Gargantua and Pantagruel,Francois Rabelais,1532,French,French,1000-1200,240000,199,1297,"Dark, Fiction, Literary Fiction, Picaresque, Postmodern, Satire, Travel, philosophical","Carnival, Education, Folly, Friendship, Giantism, Humanism, Wisdom",Fictional Location
200,550,A Tale of Two Cities,Charles Dickens,1859,British,English,200-500,135420,200,1288,"Drama, Fiction, Historical fiction, Literary Fiction, Travel, Victorian","Betrayal, Class Struggle, Family, French Revolution, Friendship, Identity, Imprisonment, Justice, Resurrection, Revolution, Sacrifice","England, France, London, Paris"
201,44,A House for Mr. Biswas,V. S. Naipaul,1961,Trinidadian,English,350-500,206000,201,1274,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Ambition, Family, Family dynamics, Journalists, Marriage, Poverty, Self-discovery, Struggle, colonialism, tradition","Fictional Location, Independence, Trinidad"
202,2260,The Once and Future King,T. H. White,1958,British,English,600-700,288000,202,1270,"Arthurian, Fantasy, Fiction, High Fantasy, Historical fiction, Speculative Fiction","Chivalry, Destiny, Education, Identity, Leadership, Power, Transformation, morality","England, Fictional Location, Great Britain"
